Name,Rating,Profile,Address,Reviews,Salary,Jobs,Benefits,Photos
ICICI Prudential Life Insurance,4.0,Insurance,Mumbai +496 other locations,7.2k,22.3k,704,625,10
Amazon Development Centre India,3.9,Internet,Hyderabad / Secunderabad +145 other locations,7.2k,36.3k,9,20,12
Optum Global Solutions,4.0,IT Services & Consulting,Hyderabad / Secunderabad +60 other locations,7.2k,46.4k,232,686,1
JPMorgan Chase & Co.,3.8,Financial Services,Bangalore / Bengaluru +52 other locations,7.1k,79.9k,724,844,14
Delhivery,3.8,Logistics,Gurgaon / Gurugram +719 other locations,7k,20k,102,656,66
Sun Pharmaceutical Industries,4.1,Pharma,Vadodara +255 other locations,7k,23k,354,593,16
Jana Small Finance Bank,3.8,Banking,Bangalore / Bengaluru +401 other locations,7k,14.4k,8,622,15
Hexaware Technologies,3.5,IT Services & Consulting,Chennai +67 other locations,6.9k,51.1k,540,547,28
JSW Steel,3.9,Iron & Steel,Ballari +179 other locations,6.9k,29.3k,154,600,32
L&T Construction,4.0,Engineering & Construction,Chennai +412 other locations,6.8k,18.8k,--,779,31
Lupin,4.1,Pharma,Pune +194 other locations,6.8k,22.1k,38,766,11
Zydus Lifesciences,4.0,Pharma,Ahmedabad +171 other locations,6.7k,19.4k,32,604,21
Hindustan Unilever,4.2,FMCG,Mumbai +509 other locations,6.7k,19.6k,52,703,3
Equitas Small Finance Bank,4.3,Banking,Chennai +440 other locations,6.6k,12.6k,22,397,25
KPMG India,3.4,Management Consulting,Bangalore / Bengaluru +104 other locations,6.6k,60.1k,1.4k,749,6
ITC,3.9,FMCG,Bangalore / Bengaluru +359 other locations,6.5k,23.6k,70,635,14
Ekart Logistics,3.9,Bangalore / Bengaluru +708 other locations,,6.5k,15.2k,--,422,73
Axis Max Life Insurance,4.0,Insurance,New Delhi +474 other locations,6.4k,19.4k,307,495,8
Ujjivan Small Finance Bank,4.0,Banking,Bangalore / Bengaluru +510 other locations,6.4k,12.6k,137,578,23
FIS,3.8,FinTech,Pune +58 other locations,6.2k,38.2k,193,720,17
Tata Projects,4.2,Engineering & Construction,Mumbai +269 other locations,6.1k,21.5k,22,540,48
Megha Engineering & Infrastructures,3.9,Engineering & Construction,Hyderabad / Secunderabad +388 other locations,6.1k,17.7k,7,539,32
L&T Technology Services,3.1,IT Services & Consulting,Bangalore / Bengaluru +93 other locations,5.9k,40.8k,4,415,11
HCL Group,3.5,IT Services & Consulting,Chennai +95 other locations,5.9k,41.1k,--,661,1
Indian Army,4.7,Defence & Aerospace,New Delhi +354 other locations,5.9k,9.4k,--,728,8
Coforge,3.2,IT Services & Consulting,Noida +105 other locations,5.9k,45.4k,243,273,102
Oracle,3.6,Software Product,Bangalore / Bengaluru +55 other locations,5.9k,59.9k,1.2k,617,39
IIFL Finance,4.0,NBFC,Mumbai +770 other locations,5.9k,13.5k,51,433,17
Bajaj Allianz Life Insurance,3.9,Insurance,Pune +580 other locations,5.8k,16.5k,81,474,17
JLL,4.1,Real Estate,Gurgaon / Gurugram +81 other locations,5.7k,23.1k,5.4k,540,20
Muthoot Finance,3.6,NBFC,Bangalore / Bengaluru +741 other locations,5.7k,12.6k,80,325,8
eClerx,3.1,IT Services & Consulting,Pune +30 other locations,5.7k,30.2k,847,553,26
Omega Healthcare,3.8,BPO,Chennai +63 other locations,5.7k,25.1k,208,390,26
Udaan,4.0,Internet,Bangalore / Bengaluru +365 other locations,5.6k,16.6k,7,755,14
Virtusa Consulting Services,3.7,IT Services & Consulting,Hyderabad / Secunderabad +51 other locations,5.6k,54.9k,30,318,19
HSBC Group,3.9,Financial Services,Bangalore / Bengaluru +63 other locations,5.6k,40.7k,417,1.1k,26
Cholamandalam Investment & Finance,3.8,Financial Services,Chennai +790 other locations,5.6k,12.2k,21,293,36
Indiamart Intermesh,3.6,Internet,Noida +165 other locations,5.5k,19.5k,921,431,13
DMart,3.9,Retail,Mumbai +237 other locations,5.4k,17.1k,186,472,16
Aurobindo Pharma,4.0,Pharma,Hyderabad / Secunderabad +109 other locations,5.4k,20.8k,12,468,9
Siemens,4.0,Industrial Automation,Bangalore / Bengaluru +149 other locations,5.4k,32.3k,417,632,13
Shapoorji Pallonji Group,4.1,Engineering & Construction,Mumbai +187 other locations,5.3k,15.1k,47,632,14
Standard Chartered,3.6,Banking,Chennai +67 other locations,5.3k,41.4k,--,305,--
CGI Group,4.0,IT Services & Consulting,Bangalore / Bengaluru +43 other locations,5.3k,45.3k,227,397,5
GlobalLogic,3.5,IT Services & Consulting,Hyderabad / Secunderabad +55 other locations,5.3k,38.7k,57,515,21
Firstsource Solutions,3.6,BPO,Bangalore / Bengaluru +69 other locations,5.2k,23.3k,154,570,16
BigBasket,3.9,Internet,Bangalore / Bengaluru +131 other locations,5.2k,18.5k,94,380,33
Access Healthcare,3.7,Healthcare,Chennai +57 other locations,5.2k,26.2k,542,346,9
ICICI Lombard General Insurance Company,3.6,Insurance,Mumbai +299 other locations,5.2k,19.7k,178,366,15
Bosch Global Software Technologies,3.8,IT Services & Consulting,Bangalore / Bengaluru +44 other locations,5.2k,38.4k,221,624,21
Apollo Hospitals,4.0,Healthcare,Chennai +222 other locations,5.2k,16.1k,75,506,2
SMFG India Credit,3.9,NBFC,Mumbai +565 other locations,5.1k,10.9k,115,347,17
Mahindra Finance,3.9,NBFC,Mumbai +706 other locations,5.1k,11.7k,548,507,8
Citicorp,3.7,Financial Services,Pune +67 other locations,5.1k,49.3k,--,517,6
UST,3.7,IT Services & Consulting,Bangalore / Bengaluru +48 other locations,5.1k,38.2k,86,407,16
Ashok Leyland,4.1,Automobile,Chennai +237 other locations,5.1k,18.2k,--,642,13
Manappuram Finance,3.9,NBFC,Bangalore / Bengaluru +606 other locations,5.1k,8.9k,14,260,24
Cyient,3.6,IT Services & Consulting,Hyderabad / Secunderabad +43 other locations,5.1k,26.9k,91,466,3
Hero MotoCorp,4.0,Automobile,Gurgaon / Gurugram +352 other locations,5k,15.2k,--,584,9
PolicyBazaar,3.7,Internet,Gurgaon / Gurugram +129 other locations,4.9k,16.5k,672,231,14
Swiggy,3.7,Internet,Bangalore / Bengaluru +222 other locations,4.9k,21.6k,221,342,17
JustDial,3.5,Internet,Noida +214 other locations,4.8k,15.2k,57,372,9
SBI Cards & Payment Services,3.7,Financial Services,Gurgaon / Gurugram +420 other locations,4.8k,16.2k,150,343,13
BNY,3.8,Financial Services,Pune +24 other locations,4.8k,30k,102,527,1
Kalpataru Projects International,4.1,Engineering & Construction,Mumbai +302 other locations,4.8k,13.3k,--,203,21
IQVIA,3.8,Clinical Research,Bangalore / Bengaluru +61 other locations,4.7k,29.6k,27,524,10
Eviden,3.6,IT Services & Consulting,Pune +36 other locations,4.7k,28.7k,51,1,11
vivo,4.1,Consumer Electronics & Appliances,Noida +403 other locations,4.7k,12.7k,4,643,3
CBRE,4.1,Real Estate,Hyderabad / Secunderabad +89 other locations,4.7k,18.1k,31,443,18
Atos,3.8,IT Services & Consulting,Pune +48 other locations,4.7k,33.5k,80,454,10
TVS Motor,3.9,Automobile,Hosur +330 other locations,4.6k,15.3k,66,536,9
Persistent Systems,3.6,IT Services & Consulting,Pune +41 other locations,4.6k,42k,267,369,33
NTT Data,3.8,IT Services & Consulting,Bangalore / Bengaluru +75 other locations,4.6k,33.7k,14,154,7
SBI Life Insurance Company,3.7,Insurance,Mumbai +623 other locations,4.6k,11.4k,6,326,16
Nagarro,3.9,IT Services & Consulting,Gurgaon / Gurugram +47 other locations,4.6k,31k,208,1.1k,19
State Bank of India,3.9,Banking,Mumbai +584 other locations,4.5k,11.1k,6,400,5
Nagarjuna Construction Company,4.1,Engineering & Construction,Hyderabad / Secunderabad +275 other locations,4.5k,11.8k,22,407,11
Schneider Electric,4.1,Industrial Automation,Bangalore / Bengaluru +117 other locations,4.5k,23.5k,59,463,13
Amdocs,3.7,Software Product,Pune +22 other locations,4.5k,36.6k,59,613,20
Home Credit Finance,4.0,NBFC,Gurgaon / Gurugram +131 other locations,4.5k,9.5k,124,630,6
Ecom Express,3.9,Logistics,Gurgaon / Gurugram +733 other locations,4.5k,9.8k,--,323,27
JBM Group,3.9,Auto Components,Gurgaon / Gurugram +107 other locations,4.4k,13.5k,49,342,21
OPPO,3.9,Consumer Electronics & Appliances,Greater Noida +398 other locations,4.3k,11.9k,8,602,10
KEC International,4.0,Engineering & Construction,Mumbai +303 other locations,4.3k,12.4k,8,440,44
Bosch,4.1,Auto Components,Bangalore / Bengaluru +121 other locations,4.3k,20.2k,140,599,18
Hewlett Packard Enterprise,4.1,IT Services & Consulting,Bangalore / Bengaluru +100 other locations,4.3k,26.3k,98,546,18
Piramal Capital Housing Finance,4.2,NBFC,Mumbai +374 other locations,4.3k,9.4k,4,262,36
EY Global Delivery Services ( EY GDS),3.5,Accounting & Auditing,Bangalore / Bengaluru +53 other locations,4.3k,43.8k,48,145,16
Dell,3.8,Consumer Electronics & Appliances,Bangalore / Bengaluru +114 other locations,4.3k,28.2k,21,540,25
ITC Infotech,3.7,IT Services & Consulting,Bangalore / Bengaluru +66 other locations,4.3k,28.7k,94,281,8
Mahindra Logistics,3.7,Logistics,Mumbai +231 other locations,4.3k,12.9k,4,445,24
Varun Beverages,3.9,Beverage,New Delhi +351 other locations,4.2k,11.7k,64,321,27
Aditya Birla Fashion and Retail,4.1,Fashion & Textile,Bangalore / Bengaluru +274 other locations,4.2k,12.4k,80,391,13
Randstad,3.7,Recruitment,Hyderabad / Secunderabad +330 other locations,4.1k,15.6k,5,330,7
CARS24,3.5,Internet,Gurgaon / Gurugram +169 other locations,4.1k,15.2k,71,410,17
Deutsche Bank,3.9,Banking,Pune +42 other locations,4.1k,34.7k,1.3k,398,79
L&T Finance,3.9,NBFC,Mumbai +582 other locations,4.1k,11.4k,--,260,28
Hyundai Motor India Limited,4.1,Automobile,Chennai +277 other locations,4.1k,13.4k,3,517,24
