Name,Rating,Profile,Address,Reviews,Salary,Jobs,Benefits,Photos
MR.DIY,3.3,Retail,Mumbai +73 other locations,423,1.2k,5,9,--
H & R Johnson,3.4,Building Material,Mumbai +72 other locations,422,1.2k,--,41,--
Ergode IT Services,3.3,IT Services & Consulting,Mumbai +11 other locations,422,1.4k,78,58,63
Pratham Education Foundation,4.0,Education & Training,New Delhi +98 other locations,422,907,6,47,4
Nagarjuna Fertilizers and Chemicals,4.0,Agro Chemicals,Kakinada +69 other locations,422,1.3k,--,54,--
SMEC,3.7,Real Estate,Bangalore / Bengaluru +63 other locations,423,1.4k,7,43,4
Knowledgeworks Global,3.0,Printing & Publishing,Mumbai +12 other locations,422,2k,12,5,1
PULSUS HealthTech Group,3.4,Printing & Publishing,Visakhapatnam +8 other locations,423,1.3k,--,36,--
Bhilosa Industries,3.8,Fashion & Textile,Silvassa / Dadra & Nagar Haveli +11 other locations,422,2.1k,10,23,3
Aparna Enterprises,4.0,Building Material,Hyderabad / Secunderabad +36 other locations,421,1.7k,6,30,--
FabHotels,3.3,Hospitality,Gurgaon / Gurugram +32 other locations,421,2k,30,24,2
Equiniti,3.7,Financial Services,Chennai +4 other locations,421,3k,69,29,--
FabHotels,3.3,Hospitality,Gurgaon / Gurugram +32 other locations,421,2k,30,24,2
Equiniti,3.7,Financial Services,Chennai +4 other locations,421,3k,69,29,--
Balmer Lawrie,3.7,Packaging,Kolkata +33 other locations,421,1.8k,39,37,2
Reliance Infrastructure,3.9,Engineering & Construction,Mumbai +60 other locations,420,1.9k,--,61,7
Seoyon E-hwa Automotive,3.5,Auto Components,Chennai +20 other locations,420,2.2k,--,27,1
Allied Blenders & Distillers,4.1,Beverage,Mumbai +78 other locations,420,1.4k,2,33,2
LogixHealth,3.5,Analytics & KPO,Bangalore / Bengaluru +8 other locations,421,2.1k,13,36,--
Allana Group of Companies,3.8,Food Processing,Mumbai +39 other locations,421,1.3k,--,11,6
Spoton Logistics,4.4,Logistics,Bangalore / Bengaluru +72 other locations,419,1.1k,2,59,--
Capital Foods,4.1,Food Processing,Mumbai +71 other locations,419,1.3k,--,57,--
Godrej Interio,3.9,Furniture & Furnishing,Mumbai +64 other locations,419,1.8k,--,41,--
RPG Life Sciences,3.8,Pharma,Ankleshwar +43 other locations,420,1.5k,5,51,4
WM Universal Solutions Private Limited,3.7,Waste Management,Indore +17 other locations,418,2k,69,40,4
Athenahealth Technology,4.0,Analytics & KPO,Chennai +9 other locations,418,3.7k,43,45,--
Khadims,3.7,Fashion & Textile,Kolkata +62 other locations,418,1.3k,--,47,6
Le Méridien,4.2,Hospitality,New Delhi +27 other locations,418,1.1k,--,63,--
Bharat Bijlee,4.2,Electrical Equipment,Mumbai +21 other locations,417,1.5k,2,46,--
Allegis Group,3.7,Recruitment,Bangalore / Bengaluru +13 other locations,417,2.7k,--,42,9
Aptech,3.5,Education & Training,Mumbai +72 other locations,419,1.7k,20,45,1
SBI Mutual Fund,3.8,Financial Services,Mumbai +139 other locations,418,1.7k,36,38,--
DesignTech Systems,3.2,IT Services & Consulting,Pune +33 other locations,417,1.9k,27,29,4
Gilbarco Veeder Root,3.8,Industrial Machinery,Mumbai +51 other locations,417,2k,5,32,--
5paisa Capital Ltd.,3.6,Financial Services,Mumbai +9 other locations,417,1.5k,5,65,11
Kothari Agritech,4.4,Building Material,Solapur +124 other locations,417,645,14,8,21
Deluxe Entertainment,3.5,Media & Entertainment,Bangalore / Bengaluru +11 other locations,417,2.4k,16,38,5
JNS Instruments,3.9,Industrial Machinery,Gurgaon / Gurugram +22 other locations,417,1.8k,--,35,2
NR Switch N Radio Services,3.7,Telecom,New Delhi +72 other locations,416,1.1k,7,33,--
Ciena,4.1,Telecom,Gurgaon / Gurugram +11 other locations,416,3k,45,53,17
St. Xavier's High School,3.7,Education & Training,Gurgaon / Gurugram +118 other locations,416,1.4k,34,46,--
Reliance Capital,3.7,Financial Services,Mumbai +85 other locations,417,1.9k,--,75,--
Kolte Patil Developers,3.9,Real Estate,Pune +9 other locations,416,1.8k,9,49,--
360 Realtors,3.7,Real Estate,Pune +26 other locations,416,1.5k,2,47,--
CollegeDekho,2.8,EdTech,Gurgaon / Gurugram +23 other locations,416,2.3k,4,14,2
Magus Customer Dialog,3.7,BPO,Hyderabad / Secunderabad +18 other locations,415,818,--,43,--
ABC Consultants,3.9,Recruitment,Bangalore / Bengaluru +28 other locations,415,21.7k,5,23,--
Jindal Power,4.1,Power,Raigarh +34 other locations,415,1.5k,18,23,5
ARMSOFTECH.AIR,3.2,IT Services & Consulting,Chennai +15 other locations,415,1.3k,--,54,13
Vishvaraj Environment,4.1,Waste Management,Nagpur +52 other locations,415,1.6k,2,14,1
Honeywell International India,3.9,Defence & Aerospace,Pune +23 other locations,415,2.4k,--,50,--
CodeClouds,4.3,Software Product,Kolkata +6 other locations,414,1.1k,34,124,15
Signature Global,4.0,Real Estate,Gurgaon / Gurugram +12 other locations,414,2k,16,16,--
Railtel Corporation Of India,3.6,Hardware & Networking,New Delhi +67 other locations,415,1.9k,--,20,--
Entrata,4.0,Software Product,Pune +5 other locations,414,2.3k,18,50,2
Infosys Consulting,3.4,IT Services & Consulting,Bangalore / Bengaluru +28 other locations,414,3.7k,--,65,5
Bada Business,3.4,Internet,New Delhi +53 other locations,413,1.6k,543,39,4
Black Knight,3.6,IT Services & Consulting,Hyderabad / Secunderabad +4 other locations,413,2.7k,--,44,--
Saxo Bank,3.5,FinTech,Gurgaon / Gurugram +5 other locations,422,2.4k,2,28,31
Indofil Industries,4.0,Agro Chemicals,Bharuch +49 other locations,413,1.8k,1,52,--
Eurofins It Solutions,3.1,IT Services & Consulting,Bangalore / Bengaluru +6 other locations,413,3.3k,9,58,1
Al Turki Enterprises,3.7,Oil & Gas,Muscat +16 other locations,412,960,--,50,1
Recpdcl.ltd,4.1,Facility Management Services,New Delhi +66 other locations,412,916,--,44,--
Eurokids,4.0,Education & Training,Mumbai +71 other locations,412,1.3k,--,36,--
Puravankara,3.6,Real Estate,Bangalore / Bengaluru +13 other locations,412,1.9k,17,5,--
Stryker,4.0,Medical Equipment,Gurgaon / Gurugram +23 other locations,412,3.1k,68,55,--
B.C. Jindal Group of Companies,3.9,Iron & Steel,New Delhi +32 other locations,412,1k,--,15,--
Hitachi Systems,3.9,IT Services & Consulting,Mumbai +36 other locations,413,2.2k,3,3,1
Mediterranean Shipping Company,4.0,Ports & Shipping,Chennai +31 other locations,411,2.1k,--,26,1
Gopal Snacks Limited,4.2,FMCG,Rajkot +88 other locations,411,1.1k,2,34,20
Miracle Software Systems,4.0,IT Services & Consulting,Visakhapatnam +10 other locations,411,1.9k,21,24,10
GM Modular,3.7,Electrical Equipment,Mumbai +65 other locations,412,1.7k,34,34,1
Avaada Energy,4.3,Power,Noida +54 other locations,411,1.7k,20,31,7
Common Service Centres,4.4,Government,New Delhi +165 other locations,410,1.2k,--,14,2
Cera Sanitaryware,4.1,Building Material,Ahmedabad +71 other locations,410,1.6k,2,33,1
Loadshare Networks,3.5,Logistics,Bangalore / Bengaluru +62 other locations,410,1.6k,22,24,4
Clix Capital Services,4.0,FinTech,Gurgaon / Gurugram +32 other locations,409,1.5k,36,19,1
ELGI Equipments,4.0,Industrial Machinery,Coimbatore +29 other locations,409,1.9k,16,48,--
Medica Superspecialty Hospital,3.8,Healthcare,Kolkata +18 other locations,409,1.5k,--,48,--
SISL Infotech,3.5,IT Services & Consulting,New Delhi +39 other locations,409,2.2k,1,18,--
ZF Friedrichshafen,3.9,Auto Components,Chennai +16 other locations,409,1.9k,--,11,--
Echobooom Management & Entrepreneurial Solutions,3.7,Marketing & Advertising,Mumbai +19 other locations,409,456,63,187,1
TotalEnergies,3.7,Oil & Gas,Mumbai +61 other locations,408,1.6k,11,44,4
Mahle Anand Thermal Systems,4.1,Auto Components,Pune +14 other locations,408,1.5k,--,28,--
Corona Remedies,4.0,Pharma,Ahmedabad +62 other locations,408,1.3k,--,29,1
ArisGlobal,2.8,IT Services & Consulting,Bangalore / Bengaluru +9 other locations,408,2.9k,4,10,--
Speridian Technologies,3.4,IT Services & Consulting,Bangalore / Bengaluru +18 other locations,408,3k,6,21,--
Majesco,3.0,IT Services & Consulting,Mumbai +8 other locations,408,3.3k,17,48,--
Kataria Automobiles,3.6,Automobile,Ahmedabad +25 other locations,408,1.4k,4,34,12
Aludecor Lamination,3.8,Building Material,Haridwar +43 other locations,407,1.5k,15,28,3
Samsung C&T,4.2,Engineering & Construction,Mumbai +27 other locations,407,1.3k,2,49,--
Bluestone.com,3.7,Jewellery,Bangalore / Bengaluru +56 other locations,407,1.9k,5,18,--
CS TECH Ai,3.9,IT Services & Consulting,Nagpur +44 other locations,407,1.4k,1,26,11
Montecarlo Construction,4.2,Engineering & Construction,Ahmedabad +79 other locations,407,1.3k,--,44,1
Alankit,3.3,Financial Services,New Delhi +38 other locations,407,1.2k,23,21,4
NetApp,3.7,IT Services & Consulting,Bangalore / Bengaluru +9 other locations,406,3.8k,22,35,12
Yusen Logistics,4.1,Logistics,Mumbai +32 other locations,407,1.6k,16,34,--
Brembo Brake India,4.1,Auto Components,Pune +16 other locations,406,1.5k,--,36,--
Kyungshin Industrial Motherson,3.3,Electrical Equipment,Chennai +17 other locations,406,2k,--,37,--
Clove Dental,4.0,Healthcare,New Delhi +17 other locations,405,1.2k,66,10,--
Texmaco Rail and Engineering,3.8,Engineering & Construction,Kolkata +46 other locations,405,1.7k,13,44,1
Bharat Seats,3.7,Auto Components,Gurgaon / Gurugram +18 other locations,405,1.5k,6,37,--
Premier Energies,4.1,Power,Hyderabad / Secunderabad +20 other locations,405,1.7k,1,25,--
Mjunction Services,4.0,IT Services & Consulting,Kolkata +29 other locations,404,1.8k,1,41,2
Atyati Technologies,3.9,IT Services & Consulting,Bangalore / Bengaluru +83 other locations,405,1.4k,3,33,1
ABCI Infrastructures,3.5,Engineering & Construction,Kolkata +52 other locations,404,5.4k,2,53,--
Henkel Adhesives Technologies,4.0,Chemicals,Pune +27 other locations,404,1.9k,26,44,--
Jupiter Hospital,3.9,Healthcare,Pune +14 other locations,404,1.5k,4,23,12
Jindal Aluminium,3.7,Metals & Mining,Bangalore / Bengaluru +17 other locations,404,1.8k,20,52,--
Ind-Swift Laboratories,3.8,Pharma,Chandigarh +25 other locations,403,1.6k,--,56,--
SoftwareOne,3.7,IT Services & Consulting,Gurgaon / Gurugram +18 other locations,403,3.4k,9,47,3
Espire Infolabs,2.7,IT Services & Consulting,Gurgaon / Gurugram +11 other locations,403,2.4k,15,24,3
Caresoft Global,3.5,Automobile,Coimbatore +13 other locations,403,3.1k,--,43,3
Sunwoda Electronic India Pvt Ltd,4.0,Electronics Manufacturing,Noida +5 other locations,403,1.8k,--,40,--
Accel Frontline,4.0,IT Services & Consulting,Chennai +56 other locations,402,751,--,44,--
Lambda Therapeutic Research,4.1,Clinical Research,Ahmedabad +8 other locations,402,1.3k,28,23,6
Synopsys,3.8,Semiconductors,Bangalore / Bengaluru +10 other locations,402,3.2k,84,44,13
KSB Limited - Irrigation & Process Division (IPD),3.8,Industrial Machinery,Pune +29 other locations,402,2.2k,--,16,--
Transasia Bio-Medicals,3.3,Biotechnology,Mumbai +53 other locations,402,1.7k,15,31,1
Realme,3.7,Consumer Electronics & Appliances,Gurgaon / Gurugram +91 other locations,402,1.3k,4,13,--
Tally Solutions,4.0,Software Product,Bangalore / Bengaluru +66 other locations,401,2.2k,4,49,8
Fuji Electric,3.6,Industrial Machinery,Chennai +35 other locations,401,1.7k,1,14,2
Indian Political Action Committee,2.8,Other,Kolkata +20 other locations,401,1.7k,--,14,--
Secure Value,3.3,IT Services & Consulting,Mumbai +82 other locations,401,933,--,23,--
Hyundai Glovis,3.7,Logistics,Anantapur +20 other locations,401,1.7k,2,48,1
Karvy DigiKonnect,3.1,Financial Services,Hyderabad / Secunderabad +20 other locations,400,1.3k,--,29,--
AIRBUS,3.6,Defence & Aerospace,Bangalore / Bengaluru +10 other locations,400,4.1k,2,40,4
Gaurs Group,4.2,Real Estate,Noida +13 other locations,412,1.4k,6,23,9
Cimpress,3.9,Printing & Publishing,Mumbai +9 other locations,400,2.6k,20,37,--
Kutchina,3.4,Consumer Electronics & Appliances,Kolkata +65 other locations,401,1.2k,2,26,--
Ramada,3.8,Hospitality,Mumbai +57 other locations,400,1k,--,67,--
Mashreq Global Services,3.2,Financial Services,Bangalore / Bengaluru +10 other locations,399,2.4k,59,33,3
Powerweave,3.3,BPO,Mumbai +7 other locations,399,1.7k,--,34,--
Vcare Trichology,3.6,Healthcare,Chennai +58 other locations,399,1.7k,15,17,4
Larsen & Toubro Group,4.1,Engineering & Construction,Chennai +72 other locations,398,1k,--,48,--
NAV Backoffice,3.4,Accounting & Auditing,Jaipur +9 other locations,398,2.2k,1,25,9
Mahindra Lifespace Developers,4.1,Real Estate,Mumbai +23 other locations,399,1.6k,12,47,2
Pole To Win,3.4,Gaming,Bangalore / Bengaluru +9 other locations,398,2k,5,44,1
Indian Immunologicals,4.2,Biotechnology,Hyderabad / Secunderabad +28 other locations,398,1.6k,1,47,--
Rieter,3.6,Industrial Machinery,Pune +14 other locations,398,2.2k,2,46,--
TRINAMIX,4.4,IT Services & Consulting,Pune +5 other locations,398,836,28,88,47
AQM Technologies,3.3,IT Services & Consulting,Mumbai +12 other locations,398,3.1k,14,20,--
Chettinad Cements,3.9,Building Material,Chennai +59 other locations,397,1.8k,--,21,--
Kaynes Technology,3.4,Electronics Manufacturing,Mysuru / Mysore +17 other locations,397,1.5k,--,34,1
Essar Group,3.7,Engineering & Construction,Mumbai +45 other locations,397,1.7k,--,49,--
National Bulk Handling Corporation,3.9,Agriculture,Mumbai +74 other locations,397,1.1k,8,43,--
BrightCHAMPS,3.6,EdTech,Bangalore / Bengaluru +27 other locations,397,1.1k,24,43,4
Calsoft,2.9,IT Services & Consulting,Pune +6 other locations,397,3.5k,17,28,6
Regency Hospital Ltd,4.1,Healthcare,Kanpur +16 other locations,397,1.3k,33,24,1
Meyer Organics,3.6,Pharma,Mumbai +66 other locations,397,1.4k,14,35,5
Ashapura Group Of Industries,4.1,Metals & Mining,Bhuj +29 other locations,398,1.7k,11,43,5
National Australia Bank,3.0,Banking,Gurgaon / Gurugram +8 other locations,396,2.8k,16,4,11
Toyota,4.2,Automobile,Bangalore / Bengaluru +101 other locations,396,1.7k,--,50,--
Odessa,3.8,Software Product,Bangalore / Bengaluru +3 other locations,396,2.3k,2,52,15
Uniparts Group,3.6,Industrial Machinery,Noida +13 other locations,396,1.5k,4,30,--
OnePlus,3.8,Consumer Electronics & Appliances,Bangalore / Bengaluru +56 other locations,396,1.9k,1,44,2
Rakuten Symphony,3.5,Telecom,Indore +6 other locations,396,3.4k,13,12,36
DataMetica,3.3,IT Services & Consulting,Pune +6 other locations,395,2.7k,13,20,--
Paper Boat(Hector Beverages Pvt. Ltd.),4.0,Beverage,Bangalore / Bengaluru +94 other locations,395,1.2k,1,32,14
Yethi Consulting,3.4,IT Services & Consulting,Bangalore / Bengaluru +11 other locations,395,2.9k,35,16,13
India Nippon Electricals,3.8,Electrical Equipment,Hosur +25 other locations,395,1.5k,4,55,--
Confidence Petroleum India,2.9,Oil & Gas,Nagpur +49 other locations,395,1.6k,21,13,2
Scientific Publishing Services,3.7,Analytics & KPO,Chennai +7 other locations,394,1.4k,--,46,--
Tata Steel Downstream Products,3.6,Iron & Steel,Jamshedpur +38 other locations,394,1.4k,8,24,3
Pearson Education India,3.9,Education & Training,Bangalore / Bengaluru +57 other locations,394,1.7k,18,50,--
Hexagon Nutrition,4.0,Food Processing,Mumbai +29 other locations,394,991,7,136,--
Havmor Ice Cream,4.1,Food Processing,Ahmedabad +67 other locations,394,1.2k,--,44,--
Flipkart Health+,3.5,Internet,Kolkata +35 other locations,394,1.5k,1,31,2
Ami Lifesciences,3.9,Pharma,Vadodara +10 other locations,394,1.6k,3,22,10
Siyaram Silk Mills,3.9,Fashion & Textile,Mumbai +36 other locations,394,1.4k,5,43,--
Tata BlueScope Steel,3.6,Iron & Steel,Jamshedpur +36 other locations,394,1.5k,4,33,6
Grant Thornton Bharat,3.7,Accounting & Auditing,Gurgaon / Gurugram +33 other locations,393,2k,--,17,1
GTL Infrastructure,4.2,Hardware & Networking,Mumbai +47 other locations,393,851,--,47,--
Ess Kay Fincorp,4.0,NBFC,Jaipur +109 other locations,393,978,2,43,--
Roop Automotives,4.3,Auto Components,Gurgaon / Gurugram +13 other locations,393,1.3k,1,45,3
PC Jewellers,3.8,Metals & Mining,New Delhi +72 other locations,393,949,4,30,--
TTK Healthcare,4.2,Healthcare,Chennai +75 other locations,393,1.2k,8,53,--
Schoolnet India,3.9,EdTech,Mumbai +88 other locations,393,1k,17,56,--
Penna Cement Industries,4.1,Building Material,Hyderabad / Secunderabad +46 other locations,393,1.6k,--,31,--
LT Foods,3.9,FMCG,Gurgaon / Gurugram +59 other locations,393,1.5k,--,41,--
Groupon,3.2,Internet,Chennai +10 other locations,392,2.3k,11,37,29
Gokaldas Exports,3.7,Fashion & Textile,Bangalore / Bengaluru +22 other locations,392,1.5k,3,21,--
MKC Infrastructure Ltd.,3.6,Engineering & Construction,Gandhinagar +40 other locations,392,1.3k,13,28,3
Oda Class,3.2,EdTech,Bangalore / Bengaluru +7 other locations,392,583,--,6,2
Tagros Chemicals,3.5,Agro Chemicals,Cuddalore +12 other locations,392,1.8k,--,42,--
Infinity Learn,3.8,EdTech,Hyderabad / Secunderabad +16 other locations,389,1.7k,5,6,4
FM LOGISTIC,3.9,Logistics,Pune +35 other locations,392,1.2k,8,12,1
Agro Tech Foods,4.0,FMCG,Hyderabad / Secunderabad +77 other locations,393,1.2k,1,35,--
Protium Finance,3.8,Financial Services,Mumbai +69 other locations,393,1.7k,--,4,--
Novartis Healthcare,4.1,Pharma,Hyderabad / Secunderabad +26 other locations,391,3.1k,11,45,--
Nous Infosystems,3.7,IT Services & Consulting,Bangalore / Bengaluru +8 other locations,391,3.3k,14,37,--
Win Medicare,4.1,Pharma,New Delhi +58 other locations,391,924,--,33,--
Win Medicare,4.1,Pharma,New Delhi +58 other locations,391,924,--,33,--
Mazagon Dock,4.4,Ports & Shipping,Mumbai +10 other locations,390,1.1k,--,33,--
Rapido,3.6,Internet,Bangalore / Bengaluru +55 other locations,390,2.1k,--,29,2
RND Softech,3.0,BPO,Coimbatore +10 other locations,391,1.7k,6,16,--
e2open,3.5,Software Product,Bangalore / Bengaluru +14 other locations,390,3.3k,20,34,10
Moon Beverages,4.0,Beverage,New Delhi +29 other locations,390,1.4k,6,20,4
Talbros,3.8,Auto Components,Faridabad +23 other locations,390,1.6k,1,32,--
Amri Hospital,3.9,Healthcare,Kolkata +11 other locations,390,1.2k,--,37,2
A. O. Smith India Water Products Private Limited,3.8,Consumer Electronics & Appliances,Bangalore / Bengaluru +49 other locations,390,1.3k,5,43,2
L&T Heavy Engineering,3.9,Surat +25 other locations,,390,769,--,27,11
Falcon Autotech,3.9,Industrial Automation,Noida +16 other locations,391,1.8k,3,39,36
Ingersoll Rand,3.9,Industrial Machinery,Bangalore / Bengaluru +29 other locations,389,2.3k,7,38,6
Premium Transmission,3.3,Industrial Machinery,Pune +15 other locations,389,1.8k,1,35,7
ANR Software Private Limited,4.2,IT Services & Consulting,Noida +5 other locations,389,1.1k,37,28,20
NOON.COM,3.5,Internet,Gurgaon / Gurugram +25 other locations,389,2.5k,4,31,--
Dun & Bradstreet,3.2,Analytics & KPO,Mumbai +16 other locations,390,2.8k,10,46,12
Orion Innovation,3.5,IT Services & Consulting,Chennai +12 other locations,389,3.3k,--,13,7
Bengal Beverages,3.0,Beverage,Kolkata +13 other locations,389,1.3k,--,30,--
Aditya Birla Housing Finance,3.8,Financial Services,Mumbai +88 other locations,390,1.5k,--,1,--
Aramex,3.3,Logistics,Mumbai +51 other locations,389,1.2k,4,49,6
Freyr Solutions,3.7,Legal,Hyderabad / Secunderabad +7 other locations,389,2.5k,56,20,--
Godrej Jersey,4.1,Hyderabad / Secunderabad +39 other locations,,388,1.2k,1,2,--
Zscaler Softech,3.3,Software Product,Bangalore / Bengaluru +13 other locations,388,2.7k,33,35,--
Purplle.com,3.6,Beauty & Personal Care,Mumbai +31 other locations,388,1.8k,102,24,6
Enterprise Growth Accelerator,3.5,Faridabad +9 other locations,,387,630,--,4,--
Fortis Escorts Hospital,4.1,Healthcare,New Delhi +16 other locations,387,928,--,33,1
IMS People,3.5,Recruitment,Ahmedabad +25 other locations,388,2.1k,--,37,--
Fossil Group,3.8,Fashion & Textile,Bangalore / Bengaluru +36 other locations,387,1.9k,1,32,2
Dee Piping System,4.1,Engineering & Construction,Faridabad +18 other locations,386,1.5k,7,23,--
RCM,4.1,Retail,Bhilwara +44 other locations,385,582,2,7,11
Tata Steel Utilities and Infrastructure Services,3.6,Engineering & Construction,Jamshedpur +18 other locations,385,1.1k,--,40,--
Asian Granito India,3.6,Building Material,Ahmedabad +64 other locations,386,1.5k,--,20,3
National Organic Chemical Industries,3.9,Chemicals,Bharuch +13 other locations,385,1.8k,5,44,--
Zealous Services,3.0,Design,Chennai +8 other locations,385,1.1k,2,50,1
LuLu Group International,3.6,Retail,Kochi +38 other locations,385,2.1k,--,30,--
AIG Hospital,4.3,Healthcare,Hyderabad / Secunderabad +5 other locations,385,1.5k,4,28,13
Sir H. N. Reliance Foundation Hospital and Research,4.1,Healthcare,Mumbai +9 other locations,385,1.1k,14,9,3
Comcast,3.9,Telecom,Chennai +11 other locations,385,3.9k,--,9,5
Neilsoft,3.4,Engineering & Construction,Pune +9 other locations,384,2.7k,29,26,7
Roca Bathroom Products,3.8,Building Material,Chennai +55 other locations,384,1.4k,--,39,3
GE Vernova T&D India,4.2,Power,Chennai +36 other locations,384,1.6k,--,42,--
Virchow Biotech,3.5,Pharma,Hyderabad / Secunderabad +12 other locations,384,1.7k,--,34,--
Greet Technologies,2.7,BPO,Bangalore / Bengaluru +7 other locations,384,1.2k,6,29,--
NTPC GE Power Services,3.9,Oil & Gas,Jharsuguda +27 other locations,384,1.4k,1,24,2
CogentHubCX.AI,3.4,BPO,Kolkata +7 other locations,384,732,65,18,--
JBS Enterprises,3.1,Electronics Manufacturing,Mumbai +65 other locations,384,1k,5,40,5
Supertech,4.0,Real Estate,Noida +19 other locations,383,1.5k,3,35,--
ICFAI University,3.7,Education & Training,Hyderabad / Secunderabad +55 other locations,383,881,1,45,--
Global Indian International School,4.0,Education & Training,Noida +23 other locations,383,977,9,53,--
Go Colors,3.9,Fashion & Textile,Chennai +62 other locations,383,887,1,7,3
Titagarh Rail Systems,2.9,Railways,Kolkata +18 other locations,383,1.5k,--,11,--
Anunta Technology Management Services,3.4,IT Services & Consulting,Mumbai +19 other locations,383,2k,9,26,10
Oberoi Realty,4.2,Real Estate,Mumbai +11 other locations,383,1.8k,9,37,4
InfoBeans,3.4,IT Services & Consulting,Indore +7 other locations,383,3.4k,37,40,10
Bonace Engineers,4.1,Recruitment,Mumbai +53 other locations,383,1.2k,--,27,--
Birla White,4.2,Building Material,Jodhpur +100 other locations,383,1.1k,--,33,3
Flipkart Wholesale,3.8,Bangalore / Bengaluru +56 other locations,,383,927,--,25,1
Ozone Overseas,3.8,Architecture & Interior Design,New Delhi +56 other locations,384,1.3k,8,34,5
Paradeep Phosphates,3.9,Agro Chemicals,Paradip +41 other locations,382,1.3k,6,20,1
Apex Laboratories,3.8,Pharma,Chennai +59 other locations,382,1.7k,1,32,2
Paradeep Phosphates,3.9,Agro Chemicals,Paradip +41 other locations,382,1.3k,6,20,1
Flatworld Solutions,3.5,BPO,Bangalore / Bengaluru +8 other locations,384,2.7k,29,40,--
Dow Chemical International Private Limited,3.8,Chemicals,Chennai +15 other locations,382,2k,10,38,3
TresVista,2.6,Financial Services,Pune +11 other locations,383,2.7k,27,13,2
Mungi Group,3.9,Auto Components,Pune +12 other locations,382,1.7k,--,34,6
Onsitego,3.9,Internet,Mumbai +30 other locations,382,1.3k,33,30,--
Polestar Analytics,4.0,IT Services & Consulting,Noida +9 other locations,382,1.1k,12,58,--
Broadcom,3.3,Semiconductors,Hyderabad / Secunderabad +13 other locations,381,3k,18,36,8
Infovision,3.5,IT Services & Consulting,Pune +11 other locations,381,3.8k,48,3,37
FCm Travel Solutions,3.1,Travel & Tourism,New Delhi +23 other locations,381,1.6k,15,27,--
The Indian Hotels Company,4.1,Hospitality,Mumbai +49 other locations,381,1.6k,147,39,2
National Fertilizers,4.4,Agro Chemicals,Panipat +33 other locations,381,1k,--,43,--
Saama Technologies,3.8,IT Services & Consulting,Pune +7 other locations,381,3.5k,11,44,4
LKQ INDIA,3.5,IT Services & Consulting,Bangalore / Bengaluru +3 other locations,381,2.2k,8,26,7
Qwik Supply Chain,3.7,Mumbai +138 other locations,,381,1k,--,16,3
Uplers,3.9,Internet,Ahmedabad +12 other locations,381,1.5k,377,109,18
Realty Assistant,3.5,Real Estate,Noida +15 other locations,381,606,3,78,41
NeoGrowth Credit,3.2,NBFC,Mumbai +31 other locations,381,1.7k,39,26,--
Dimension Data,4.4,IT Services & Consulting,Bangalore / Bengaluru +53 other locations,380,1.3k,--,42,--
Orient Bell,3.3,Building Material,New Delhi +67 other locations,380,1.4k,4,37,--
MyMoneyMantra,3.3,Internet,New Delhi +26 other locations,380,1.8k,8,14,1
TCL,4.0,Consumer Electronics & Appliances,Pune +48 other locations,380,1.9k,--,24,--
Kiswok Industries,3.3,Iron & Steel,Kolkata +6 other locations,380,1.6k,2,32,--
Moolchand Hospital,4.2,Healthcare,New Delhi +9 other locations,380,728,18,13,3
PGP Glass,4.0,Packaging,Vadodara +14 other locations,380,1.2k,11,16,--
Nexteer Automotive,3.7,Auto Components,Bangalore / Bengaluru +10 other locations,379,2.5k,--,30,1
IB Group,3.7,Food Processing,Rajnandgaon +75 other locations,379,1.5k,--,24,3
Venkateshwara Hatcheries,3.9,Food Processing,Pune +54 other locations,379,1.4k,--,33,1
Mediamint,3.2,Marketing & Advertising,Hyderabad / Secunderabad +7 other locations,380,2.5k,4,29,2
Munjal Showa,3.2,Auto Components,Gurgaon / Gurugram +12 other locations,379,1.2k,--,37,--
Systems Plus,4.3,IT Services & Consulting,Pune +11 other locations,379,1.5k,59,15,--
Mann And Hummel Filter,3.9,Industrial Machinery,Bangalore / Bengaluru +20 other locations,379,1.7k,6,38,9
YKK,3.8,Fashion & Textile,Rewari +24 other locations,379,1.2k,--,48,1
Sleek International,3.5,Furniture & Furnishing,Mumbai +83 other locations,379,1.2k,--,43,1
Bonfiglioli Transmissions Private Limited,3.6,Industrial Machinery,Chennai +20 other locations,379,1.6k,1,34,1
Samsung SDS,3.1,IT Services & Consulting,Gurgaon / Gurugram +20 other locations,378,2.5k,1,16,--
International Automotive Components,3.9,Auto Components,Pune +17 other locations,378,1.9k,2,25,15
American Axle & Manufacturing,4.4,Auto Components,Pune +11 other locations,378,1.4k,--,38,9
Aculife Healthcare,3.2,Pharma,Ahmedabad +34 other locations,378,1.4k,3,31,--
Glaze Trading India,4.1,Retail,New Delhi +86 other locations,378,889,--,52,--
Pon Pure Chemical,3.5,Chemicals,Chennai +41 other locations,377,1.3k,46,31,--
myGate,3.1,Law Enforcement & Security,Bangalore / Bengaluru +20 other locations,377,2.3k,4,22,4
Raptakos Brett and Company,3.5,Pharma,Mumbai +52 other locations,378,1.4k,3,25,--
Metrochem Api,3.1,Pharma,Hyderabad / Secunderabad +11 other locations,378,1.8k,5,33,8
GRT Jewellers,4.2,Jewellery,Chennai +36 other locations,378,1.4k,8,18,6
Ensono,4.2,IT Services & Consulting,Pune +10 other locations,377,2.3k,71,22,4
Western Union,3.2,FinTech,Pune +18 other locations,377,2.5k,3,40,10
